"","Female_18over_pt","Pop_20_24_18over_pt","Pop_25_44_18over_pt","Pop_45_64_18over_pt","Pop_65_84_18over_pt","Pop_85over_18over_pt","Hispanic_pt","NH_White_pt","NH_Black_pt","EduLHigh_18over_pt","Poverty_18over_pt","Insured_19over_pt","MHI","CHD","CSMOKING","BPHIGH","HIGHCHOL","OBESITY","DIABETES","Latitude","Longitude","Metric_2.5km","Metric_5km","Metric_11.1km"
"1",52.37467018,9.828496042,28.36411609,41.42480211,14.050131928,2.110817942,3.536141446,80.13520541,8.372334893,8.113456464,8.707124011,90.57104914,58625,6.7,18.6,34.9,35.1,34.3,10.9,32.47718,-86.49001,0,0,0
"2",48.78957169,6.517690875,36.43699565,35.50589696,15.021725639,2.60707635,1.775147929,39.9408284,55.67061144,17.81502173,16.32363378,88.37209302,43531,6.5,22.8,42.6,34.2,41.5,14.4,32.47425,-86.47339,0,0,0
"3",54.91461101,5.996204934,41.02466793,28.27324478,19.051233393,2.960151803,8.601841197,66.3406214,21.00115075,12.94117647,12.33396584,95.7496136,51875,7.2,20.9,38.4,36,36.2,12.1,32.47544,-86.4602,0,0,0
"4",52.46224557,7.61654629,26.0013132,35.32501641,27.54432042,2.035456336,2.349256069,87.73166275,6.395197076,6.040709127,3.053184504,96.57027572,54050,7.6,16,38.2,38.1,31.9,11.2,32.47204,-86.4437,0,0,0
"5",51.74007613,6.470908102,40.37520392,33.12941816,14.27406199,4.295812942,1.234442983,76.21167662,16.92805828,7.15062534,12.28070175,94.9357744,72417,5.7,16.3,33.4,33.1,33,9.4,32.45892,-86.42271,0,0,0
"6",53.02654867,8.283185841,29.23893805,37.59292035,18.831858404,1.238938053,0.674763833,73.57624831,23.6977058,17.23893805,14.61946903,80.47101449,46688,8.2,23.9,38.6,36.1,38.9,13.5,32.44253,-86.47877,0,0,0
"7",58.54351687,15.31083481,39.82238011,26.57193606,13.889875666,0.426287744,13.10498883,68.92529164,14.2715314,19.36056838,30.69271758,77.55400952,42689,9.2,28.2,39.9,37.5,40.5,14.9,32.42723,-86.44118,0,0,0
"8",49.88505747,4.91954023,27.90804598,43.17241379,18.114942529,1.885057471,0.884642604,86.30573248,10.93418259,6.528735632,7.816091954,93.25210872,79590,6.3,17.2,35,35.2,33.9,10.4,32.41336,-86.5261,0,0,0
"9",53.20874471,8.180535966,34.7790315,36.24823695,15.267983072,1.598495534,2.102904421,80.37576489,16.12514005,11.31875882,11.73013634,92.47153874,75793,6.4,19.9,36.1,35.1,35.3,10.8,32.53474,-86.51259,0,0,0
"10",46.08137903,8.177991581,38.04369613,35.5983163,14.391661656,0.340749649,0.515544446,83.06514607,12.84174348,10.0821808,8.999799559,92.496422,62216,6.4,19.6,36.8,35.6,34.6,10.7,32.64296,-86.52377,0,0,0
"11",49.97429306,8.791773779,29.3059126,37.06940874,21.645244218,0.205655527,0.980392157,74.43137255,22.70588235,16.81233933,13.36760925,92.71383316,48469,8.3,23.3,41.5,38,38.7,14.1,32.60895,-86.75607,0,0,0
"12",54.6473029,7.053941909,24.77178423,36.92946058,26.30705394,1.659751037,1.120543294,46.82512733,51.03565365,24.60580913,24.14937759,88.06987644,30048,9.9,26.2,47.8,38.5,44.3,18.9,32.45595,-86.73223,0,0,0
"13",47.0179502,8.280254777,20.58482918,40.79328315,21.829762595,2.460914881,0.305522914,75.81668625,18.26086957,23.74059062,11.43601621,90.89242054,41655,8.6,24,42.5,41,33.8,14.4,31.11273,-87.78625,0,0,0
"14",53.31932773,7.394957983,30.6302521,38.31932773,20.714285714,1.302521008,0,86.63015464,11.37242268,17.39495798,18.52941176,83.7628866,33953,8.8,26.9,40.5,40.5,35,13.9,30.94276,-87.68177,0,0,0
"15",49.54088325,5.305349074,26.92027401,36.01515814,22.576883836,0.976534033,2.241580793,75.10889196,18.46382662,9.911091678,7.055311125,92.34930448,62857,7.2,19.8,38.6,38.3,31.4,11.8,30.83433,-87.86679,0,0,0
"16",48.02118172,6.18729097,29.37569677,37.65328874,19.23076923,1.950947603,3.398888414,84.84395041,8.037622916,12.06800446,11.84503902,86.53791536,52538,6.9,21,35.7,38.2,30.6,10.8,30.71633,-87.61629,0,0,0
"17",47.08012675,7.650520598,31.84698959,32.028067,23.947487548,1.674966048,2.240999265,84.14768553,10.74577517,10.97781802,13.19517314,89.22425205,49236,7.5,20.5,38.8,38.8,31.2,11.7,30.89824,-87.77266,0,0,0
"18",49.42391736,13.11084625,33.45252284,34.12793008,12.316249503,0.834326579,5.105189341,30.99579243,63.45021038,29.16170044,22.72546683,71.95833333,30453,7.5,27.6,43.1,36.9,39.2,15.6,30.84936,-87.76804,0,0,0
"19",54.84270882,3.750193708,27.42910274,39.90392066,22.96606229,1.673640167,3.45987506,89.572321,2.426717924,4.958933829,5.609073959,92.53516624,85344,6.4,13.4,34.9,38.3,26.7,9.5,30.74237,-87.95182,0,0,0
"20",51.67334096,6.214244851,41.84782609,34.1819222,14.881292908,0.622139588,1.759501307,83.90307661,8.435551981,6.464530892,2.820733104,89.63392268,91015,4.5,14.4,29.4,33.3,26.9,7.7,30.64171,-87.83763,0,0,0
"21",52.69025691,7.610276297,37.90596219,35.72467281,16.965584099,0.896752302,1.411564626,77.44897959,19.55782313,3.853611246,10.95492002,91.24877089,70188,6.5,18.3,34.7,37.1,30.3,10.4,30.6479,-87.88297,0,0,0
"22",51.07123728,9.426888056,45.64809855,28.33422603,13.55115158,1.392608463,8.179392447,75.0410509,13.44417077,4.80717729,12.6129772,93.78592937,59601,5.9,16.9,33.9,35.5,29.5,9.8,30.63206,-87.89608,0,0,0
"23",51.94479297,11.776304,23.39128876,34.55816455,24.914859293,2.240544901,0.980670836,70.19613417,23.42239909,10.59329629,7.045412073,93.78596087,61650,8.4,17.9,42.5,40.9,32.7,14.1,30.5941,-87.89881,0,0,0
"24",44.94455316,8.458360513,38.44313981,31.98521418,18.764948904,1.326375299,1.209189843,79.49559509,15.7367421,22.13524679,13.75979112,85.16265538,53853,6.3,22.9,36,36.3,32,10.8,30.60645,-87.77777,0,0,0
"25",46.37136642,6.921099466,24.59956496,38.34289104,25.805813723,2.13565355,8.195404146,84.86260646,1.57480315,21.00059324,13.53547364,86.77206324,52051,7.8,23.6,37,39.3,31.9,12,30.56651,-87.57691,0,0,0
"26",49.21296296,6.404320988,34.32098765,39.25925926,14.845679012,1.049382716,7.077374404,88.99889989,3.422564479,18.99691358,13.98148148,77.49611198,47694,6.7,22.1,34.4,36.6,30.8,10.4,30.53592,-87.75682,0,0,0
"27",52.436751,7.057256991,37.86950732,28.86817577,17.576564577,4.553928096,15.93982099,80.30851266,2.456674919,14.14114514,12.57584115,79.9491669,44473,8,23.1,38.1,39.3,31.9,12.1,30.56419,-87.68753,0,0,0
"28",47.17890559,12.1633116,23.84462716,32.4638503,23.362631136,3.79926283,15.5141844,75.04432624,3.812056738,21.12276722,16.40181612,80.49199085,37014,9.2,25,40.2,40.9,34.2,14,30.49073,-87.68073,0,0,0
"29",56.12257356,5.689171041,32.40141619,34.03735808,22.939811993,2.502746917,7.868409193,84.00180261,3.623253718,5.542668783,5.713588084,95.05256648,69884,6.9,13.8,35.9,38.6,27.1,10,30.52309,-87.842,0,0,0
"30",52.50388802,3.545878694,27.49611198,39.75116641,22.519440126,1.555209953,3.808437856,89.09920182,2.166476625,7.776049767,7.309486781,92.80254777,64851,6.1,16.3,34.2,37.4,28.5,9.6,30.47414,-87.84105,0,0,0
"31",51.74337517,2.566248257,26.19246862,32.77545328,27.838214781,7.559274756,0.677155945,92.37203744,6.47281418,4.016736402,10.70927951,90.76086957,61795,8.5,13,42.2,43.2,27.6,11.8,30.53863,-87.88692,0,0,0
"32",54.64527027,3.568412162,24.15540541,37.90118243,26.39358108,6.165540541,1.882392137,72.36381809,25.57054806,9.776182432,6.821106821,92.21713538,54314,7.4,14.8,40.4,40.2,29.6,12.2,30.50446,-87.90424,0,0,0
"33",53.41824799,4.574993501,23.00493891,38.10761632,30.153366256,3.223290876,0.629953262,95.4887218,3.170087381,3.145308032,3.977125032,93.22971549,77931,6.9,14.5,38.3,40.8,27.8,10.4,30.43412,-87.8773,0,0,0
"34",50.46331625,6.508230677,29.09626077,36.33489589,23.329336098,3.662923798,6.946044122,85.09790024,4.350137326,11.51204622,9.745993677,86.86868687,53149,7.7,19.8,38.3,39.4,31.3,12,30.38186,-87.76636,0,0,0
"35",55.68990846,5.989377331,26.07074246,42.34376766,23.29076732,1.322183298,3.725656224,91.73958039,3.546899991,4.667194033,8.690247486,87.09018718,48694,6.6,16.7,33.6,36.9,29,10.1,30.31693,-87.66788,0,0,0
"36",48.68616758,4.734754586,17.6747645,36.21715419,38.051561725,1.388200297,0.79621261,96.01893695,0.81773187,4.437283094,7.164105107,94.4736184,84137,7.5,13.1,39.5,42.7,27.2,11.1,30.29105,-87.53787,0,0,0
"37",59.83313468,6.793802145,23.44060389,36.23361144,28.923321411,2.383790226,0.290510006,95.99741769,0,11.00516488,5.08541915,90.99353796,60061,5.3,17,31.3,35.1,27.4,8.2,30.27334,-87.63433,0,0,0
"38",51.19914347,4.43254818,18.84368308,34.11134904,36.46680942,1.82012848,3.430979133,94.90369181,0,4.475374732,17.12078953,86.34694318,47500,8.4,17.7,40.1,42.1,29.9,12.3,30.25686,-87.75147,0,0,0
"39",57.62411348,1.773049645,7.446808511,49.29078014,35.28368794,5.141843972,3.870967742,96.12903226,0,0.709219858,14.71631206,92.37588652,76250,9.2,15.3,44.8,46.3,29.5,13.7,30.2377,-87.91575,0,0,0
"40",51.26084325,7.363324591,24.28888441,36.09037724,25.842243297,3.429493645,4.07363218,81.88171127,10.49940344,8.472866653,10.59313215,87.81996587,43226,8.6,16.8,40.4,41.1,29.2,12.3,30.431,-87.68147,0,0,0
"41",58.28775977,7.527095555,35.30874018,30.91379139,20.781545193,4.066819131,9.114937926,75.29034842,13.98478174,16.59540618,9.893606443,77.18188209,43591,7.6,19,39.3,39.4,30.7,12,30.38064,-87.66896,0,0,0
"42",52.94961082,8.459647685,25.11265875,36.05079885,20.975010246,4.731667349,2.284427284,95.67245817,0.900900901,12.57681278,16.06665295,83.65750529,52973,8.5,21.3,41.3,42.4,31.4,12.5,30.41467,-87.5588,0,0,0
"43",52.74098227,3.708987161,20.90890564,33.91073976,36.90646016,3.321785205,4.048218784,94.15257287,0.41381792,6.847360913,7.377216222,90.63144862,48333,11.5,15.7,48.1,47.2,28.9,15.5,30.41759,-87.45999,0,0,0
"44",53.16853933,5.168539326,27.73033708,36.6741573,24.988764047,2.06741573,0,52.475581,47.524419,20.08988764,22.47191011,90.27522936,42857,9.6,23.1,49.1,40.8,40.9,19,32.04077,-85.23996,0,0,0
"45",32.86426268,9.234828496,40.75051305,32.04338904,14.687774843,1.055408971,2.450592885,35.78392622,59.92094862,37.5256523,27.39361702,84.61538462,31642,9,30.9,47.6,36.5,44,17.8,31.92043,-85.45371,0,0,0
"46",51.91297824,11.17779445,27.30682671,31.20780195,25.356339083,1.500375094,1.727218582,42.64443121,54.19892793,33.83345836,24.45611403,80.8801214,32331,12.7,26,54.2,43.8,42.2,22.5,31.80017,-85.57256,0,0,0
"47",32.34476367,10.47265987,35.27957986,33.02440531,16.126042634,3.738029039,8.895866039,51.77917321,37.59811617,30.36762434,21.67243939,83.92411383,28500,9.5,28.3,44.3,37,42.2,17.3,31.67314,-85.56805,0,0,0
"48",51.40459686,2.663261583,27.98248814,39.10981394,27.581174758,0.729660708,7.053247839,65.4028436,22.69305827,21.63443999,10.21524991,86.22090876,46794,9.4,21.6,44.7,41.3,36,15.8,31.77365,-85.28555,0,0,0
"49",55.22496372,13.86066763,35.41364296,29.24528302,18.940493465,1.52394775,5.29290853,53.90544707,39.10585817,23.87518142,24.16545718,83.71073776,27692,9.5,25.8,47.9,40.5,40.8,17.7,31.87747,-85.26625,0,0,0
"50",56.74662669,5.172413793,30.95952024,29.68515742,25.637181407,6.896551724,0,45.6482045,50.88253195,28.93553223,24.80948349,88.39590444,27885,12,22.4,52.5,42.5,40.5,21.2,31.94255,-85.26256,0,0,0
"51",58.93491124,8.461538462,25.20710059,33.01775148,29.11242604,1.775147929,2.25820196,43.24669791,52.02386025,17.3964497,20.23668639,95.59178744,38870,9.7,19,46.5,40.2,36.6,16.7,31.91226,-85.16932,0,0,0
"52",48.61528195,8.808808809,39.10577244,31.26459793,14.814814815,1.201201201,5.883825739,28.21732599,63.47020531,22.58925592,33.19986653,82.5982906,26118,9.9,25.7,47.3,38.6,42.4,19,31.85273,-85.15824,0,0,0
"53",55.12890839,8.612177729,34.39385628,32.52879868,18.869994516,5.15633571,0,97.99672935,2.003270646,17.00493692,4.882062534,96.69421488,46944,7.6,21.5,38.7,36.9,36.6,12.1,33.08376,-87.1762,0,0,0
"54",50.62806046,7.813497977,35.55460933,36.19331488,14.881839472,2.618692783,3.956298626,89.96854825,5.214368482,13.94507132,16.81944148,85.33362218,49766,7.5,24,40,37.9,37.3,11.8,33.17741,-87.0958,0,0,0
"55",48.22916667,6.223958333,27.421875,41.40625,19.374999997,2.03125,0,89.89857172,9.935831091,5.885416667,7.734375,88.86211513,54725,7.5,19.5,41.6,38.3,36.6,12.4,32.96149,-87.00935,0,0,0
"56",40.68993074,9.696323921,34.89611082,30.18114012,19.27277571,1.758124667,3.34455424,50.23346726,44.84743186,25.85242408,13.74476607,93.01855594,36079,8.1,25.8,43.9,35.9,41.9,14.6,32.94538,-87.27495,0,0,0
"57",49.9669749,9.676354029,29.78863937,34.99009247,20.145310437,1.832892999,17.11630309,74.80314961,4.42752033,18.0317041,13.32545178,82.38394831,44146,7.8,21.8,38.8,38,34.2,12.2,33.875,-86.46405,0,0,0
"58",53.60977416,9.163272862,28.563495,31.34024435,25.268419102,4.109589041,13.28997596,82.49681889,2.841792733,22.82487967,9.806576402,91.50851105,47225,10.2,21.1,44.4,42,34.1,14.6,33.95315,-86.4655,0,0,0
"59",53.47687963,6.918460995,40.48711613,32.43911048,17.578538649,1.306036004,24.18604651,74.49612403,0.07751938,23.89692905,12.49558772,88.22277403,53750,8.2,23.1,39.2,38.6,34.3,12.4,33.99901,-86.54407,0,0,0
"60",49.36193321,5.9190877,29.29676894,33.07086614,27.423296221,2.009231605,16.19288271,79.72204675,0,26.74450176,20.41813739,81.32596685,40240,10.2,26,43.3,41.6,36.5,14.8,34.07582,-86.39101,0,0,0
"61",51.91887676,7.737909516,26.86427457,38.78315133,19.937597506,1.934477379,9.231512808,88.42435959,0,28.17472699,11.91887676,85.79305871,43191,9,24.9,41.6,40.5,34.5,13.2,34.16521,-86.48808,0,0,0
"62",51.6270119,7.627711686,30.73827852,35.79426172,20.521343595,2.064380686,6.586183769,91.67002012,0.402414487,20.90622813,18.54443667,86.49276398,45000,8.8,24.7,41.3,40,35.4,13.2,34.03277,-86.63583,0,0,0
"63",48.68160844,4.416611734,39.4528675,34.57481872,19.050758072,1.252471984,1.195314368,92.99545781,1.816877839,14.66710613,7.7563249,92.05921938,54191,7.3,21.5,38.2,38,32.2,10.8,33.86891,-86.8956,0,0,0
"64",51.13667488,7.189811011,33.12791016,34.86715968,19.54259107,1.944672692,1.582749097,95.19864032,1.402166985,10.10682005,5.237833379,91.24250453,63798,6.4,19.8,36.4,36.7,31.5,10,33.907,-86.77246,0,0,0
"65",50.4031097,5.053268068,30.69392456,37.74834437,20.976101352,0.892600058,2.417923691,95.25288376,0.388198758,19.91073999,12.76993953,87.56197142,42636,8.7,24.7,41.6,40.5,34.9,13.1,33.84808,-86.64353,0,0,0
"66",50.82680592,8.703220191,30.54830287,39.07745866,18.71192341,1.305483029,0,3.1946956,96.8053044,32.11488251,34.98694517,86.37168142,20306,13,30.2,58.2,42.1,53.2,28.4,32.10965,-85.52202,0,0,0
"67",44.39955107,9.472502806,37.30639731,30.52749719,15.17396184,2.918069585,0.608378237,17.92108465,80.46236746,20.71829405,32.71257045,89.28571429,26117,8.8,25.7,48,36.7,46.6,19.1,32.15462,-85.7059,0,0,0
"68",42.84064665,7.082371055,27.17474981,36.95150115,21.170130871,1.154734411,0.544217687,38.91156463,56.39455782,26.71285604,8.044649731,81.54786151,49583,9.3,20.6,50.1,41.2,40.5,17.7,32.06817,-85.82577,0,0,0
"69",57.69010863,7.432818754,28.18753573,36.02058319,22.641509431,4.745568897,0,61.17251321,37.72224892,11.94968553,19.89051095,93.25567137,51406,9.3,20.3,47,39.1,39.6,16.5,31.90333,-86.58842,0,0,0
"70",55.87044534,11.94331984,25,37.34817814,22.368421051,2.530364372,0,69.63855422,25.86345382,9.210526316,14.67611336,89.69387755,51058,8.4,16.6,43.4,39.6,35.3,13.2,31.83775,-86.62834,0,0,0
"71",51.22235157,8.556461001,43.53899884,26.6589057,15.94877765,1.746216531,1.239486498,41.8769367,49.49092519,23.92316647,23.63213038,82.6035503,39401,9.4,24.1,46.8,37.9,43.8,18.5,31.84836,-86.67633,0,0,0
"72",54.30968726,6.712433257,39.58810069,27.45995423,21.43401983,1.296720061,0.792682927,55.30487805,36.40243902,12.2044241,19.52707857,78.31138652,41979,9.6,21.9,45.9,39.2,40.6,17.5,31.87619,-86.79442,0,0,0
"73",58.44537815,6.218487395,32.5210084,31.51260504,21.050420165,6.386554622,0,15.60675883,82.70353303,21.00840336,28.64013992,84.52274755,26977,9.1,25.6,50.1,37.5,46.4,19.3,31.79667,-86.65337,0,0,0
"74",54.31451613,8.629032258,26.65322581,35.56451613,22.94354839,2.056451613,0.265878877,61.53618907,37.51846381,12.98387097,16.37096774,90.80553295,40536,9.2,21.2,48.2,40.7,40,16.2,31.77761,-86.52412,0,0,0
"75",51.80806676,1.182197497,31.64116829,35.67454798,22.739916555,1.390820584,0.940785833,88.65522966,7.747648035,12.23922114,12.8650904,90.7735983,53125,8.4,18.3,43.4,40.8,34.7,13.3,31.71866,-86.74744,0,0,0
